logm,logphi,upper_error,lower_error
9.013996889580094,-1.9303797468354427,-1.6123417721518978,-2.2484177215189947
9.065318818040435,-1.9490118932782863,-1.6333029369000962,-2.2658853588091605
9.139968895800934,-1.9827056715947788,-1.6712084375061496,-2.2974732759808725
9.186625194401245,-2.0037642830425866,-1.6948993753849326,-2.317215724213192
9.237947122861586,-2.022715192557899,-1.7151950186750433,-2.333958071969182
9.349922239502332,-2.0629179962309863,-1.7579104975776974,-2.3691355251831334
9.415241057542769,-2.085418201312932,-1.781620732958497,-2.389738956384082
9.573872472783826,-2.129127063445882,-1.8253295950914457,-2.4407326288725235
9.629860031104199,-2.143884169268686,-1.8396223346202925,-2.455782209627328
9.755832037325039,-2.1742201263085916,-1.8669246959562071,-2.4770173795552624
9.8398133748056,-2.1930517550249027,-1.8845074512274274,-2.4936881115026552
9.979782270606531,-2.22069118255015,-1.912146878752674,-2.528237395909214
10.049766718506998,-2.2340429271694893,-1.9266685462302249,-2.543757153825177
10.175738724727838,-2.257733865048273,-1.9533208513438567,-2.5704094589388085
10.250388802488336,-2.2786089729708445,-1.9748115046164068,-2.5919001122113587
10.381026438569208,-2.3216036380101186,-2.0178061696556804,-2.6348947772506324
10.455676516329705,-2.3553571455612907,-2.051559677206853,-2.668648284801805
10.565318818040435,-2.410872235035078,-2.10707476668064,-2.724163374275592
10.614307931570762,-2.443142104330652,-2.1393446359762143,-2.7558366350893144
10.656298600311043,-2.4780550654151767,-2.174257597060739,-2.7896585661399476
10.758942457231726,-2.5633978591773436,-2.259600390822906,-2.8723343975970463
10.79860031104199,-2.605050495107978,-2.299636297419131,-2.9152115282398636
10.847589424572316,-2.663492266603668,-2.3549479628061922,-2.9767309093056715
10.964230171073094,-2.8341060167595167,-2.5255617129620407,-3.1430793157076153
11.001555209953343,-2.8988323187219223,-2.590288014924447,-3.2073766225193863
11.043545878693624,-2.976873055263801,-2.6683287514663263,-3.2854173590612623
11.06687402799378,-3.024749071233116,-2.716204767435643,-3.3332933750305767
11.150855365474339,-3.22217355355631,-2.913629249758847,-3.5307178573537707
11.188180404354588,-3.316303620292535,-3.010674596925021,-3.630678484949889
11.220839813374806,-3.412047418691509,-3.105717141491897,-3.73135179779764
11.253499222395023,-3.5234426872023556,-3.2112495011337514,-3.8456785207429824
11.276827371695179,-3.6104913986839224,-3.294516978313063,-3.9323817817670426
11.332814930015552,-3.825787992038478,-3.5010853313964887,-4.144768961697888
11.356143079315707,-3.9160334271708876,-3.5900365671201047,-4.235094592200309
11.384136858475895,-4.026591137271881,-3.7088861054786717,-4.351180187806352
11.40746500777605,-4.129122413725215,-3.815831274484716,-4.457694044431744
11.426127527216174,-4.225860410063583,-3.912569270823084,-4.556735326397216
11.444790046656298,-4.324397848298123,-4.011106709057624,-4.657126189784815
11.468118195956453,-4.451078557788839,-4.137787418548339,-4.785246452792472
11.519440124416796,-4.737206429513544,-4.422057712561764,-5.0754701311100865
11.542768273716952,-4.898436423410822,-4.574650385357403,-5.242458339075125
11.5800933125972,-5.149688342815504,-4.8322308034923225,-5.492849294741791
11.608087091757387,-5.361638341971818,-5.036540754656491,-5.701049204255577
11.636080870917574,-5.598465460558693,-5.258704992420821,-5.935490777014381
11.673405909797822,-5.930138590861643,-5.577483045258566,-6.263481972360543
11.706065318818041,-6.227168927298847,-5.855098070096004,-6.552225853232785
11.724727838258165,-6.423715967478382,-6.043455650268059,-6.759009718421671
11.74805598755832,-6.639240506329115,-6.25000000000001,-6.985759493670878
11.766718506998444,-6.639240506329115,-6.25000000000001,-6.985759493670878
11.780715396578538,-6.639240506329115,-6.25000000000001,-6.985759493670878
11.808709175738725,-6.639240506329115,-6.25000000000001,-6.985759493670878
