logm,logphi,upper_error,lower_error
9.013996889580094,-2.4099074909413374,-1.9363995571180705,-2.8877997780991898
9.065318818040435,-2.451906868490668,-1.9828528266441285,-2.926004463988489
9.139968895800934,-2.507662090045572,-2.047074490780902,-2.9708344336589163
9.186625194401245,-2.5351960593664247,-2.067726455202708,-2.99266592134282
9.237947122861586,-2.5452010808022125,-2.0682983264859196,-2.9991459628150854
9.349922239502332,-2.555346294911005,-2.06954604564929,-3.00725265116265
9.415241057542769,-2.5392829695351886,-2.0702738818279225,-2.9980426789818977
9.573872472783826,-2.49244244584182,-2.0470412110374636,-2.9532529679222512
9.629860031104199,-2.477310378553239,-2.0292756450051836,-2.9336811893543873
9.755832037325039,-2.4281787705415168,-1.9797993566448613,-2.8869393426280747
9.8398133748056,-2.3938954506090306,-1.9459661064765439,-2.854854932769421
9.979782270606531,-2.336500797568966,-1.8911599876923058,-2.8016283852229655
10.049766718506998,-2.314423038992038,-1.8637569283001862,-2.7764902933046947
10.175738724727838,-2.2795294575829317,-1.8261298937567578,-2.7341234734314104
10.250388802488336,-2.259359397460064,-1.804631052715899,-2.7165532020611334
10.381026438569208,-2.224061792245046,-1.7780633792345126,-2.689726079211546
10.455676516329705,-2.221391568259061,-1.7636513697562728,-2.685291582591203
10.565318818040435,-2.221076669691986,-1.7688199919980168,-2.685640453245028
10.614307931570762,-2.2267336714140384,-1.775473845420117,-2.692024132031607
10.656298600311043,-2.233712585044603,-1.7843090467929923,-2.6974958567058174
10.758942457231726,-2.2662721865295,-1.8174709693741236,-2.730072341057386
10.79860031104199,-2.28643847593858,-1.839933623479938,-2.7476895572558457
10.847589424572316,-2.3222525758384736,-1.8676816079635894,-2.774662419537336
10.964230171073094,-2.411450439808251,-1.9657467029229967,-2.87122055475078
11.001555209953343,-2.45119469417148,-1.998456234779214,-2.9112970043435062
11.043545878693624,-2.500349905316557,-2.050567992229555,-2.9649785616985778
11.06687402799378,-2.5329489829161713,-2.082882543870272,-2.994801649118061
11.150855365474339,-2.6761891824120654,-2.222657187393506,-3.1317049444895546
11.188180404354588,-2.7398514932991334,-2.292697646686928,-3.197447086378694
11.220839813374806,-2.8118909336618962,-2.3573030878205516,-3.2773463539558954
11.253499222395023,-2.8920758606385286,-2.4379747039374062,-3.3609552752598884
11.276827371695179,-2.955349369037258,-2.495597286878017,-3.4206759333341696
11.332814930015552,-3.112263200871992,-2.6575430492837073,-3.5783321147475213
11.356143079315707,-3.1807039837205884,-2.732212492685386,-3.6474865520308795
11.384136858475895,-3.269723952463168,-2.8241955641356653,-3.7393896972401883
11.40746500777605,-3.3533747439858677,-2.9175509891965947,-3.8159756515812773
11.426127527216174,-3.4280590840346066,-2.9922353292453354,-3.9020570204427143
11.444790046656298,-3.5088566356216924,-3.066919669294076,-3.9889721848502337
11.468118195956453,-3.6173797735195303,-3.1584299414801955,-4.088365172062533
11.519440124416796,-3.8599557102419837,-3.389694345131582,-4.320397415689584
11.542768273716952,-3.985133725174385,-3.523775627654973,-4.449048583884645
11.5800933125972,-4.192304375204472,-3.7302729492378246,-4.661529964985638
11.608087091757387,-4.36532363425187,-3.8796714226294395,-4.8224275040137154
11.636080870917574,-4.550363163332442,-4.065172747768958,-5.016553733158989
11.673405909797822,-4.789424555394305,-4.312790504936385,-5.278945136601894
11.706065318818041,-5.060409462111512,-4.556880446422363,-5.531724478527623
11.724727838258165,-5.219803585682173,-4.72125749843549,-5.689152244686008
11.74805598755832,-5.425636942424524,-4.915835847185201,-5.897094541033947
11.766718506998444,-5.5907258413580045,-5.070800701029227,-5.991180294257456
11.780715396578538,-5.714542515558122,-5.207288274057083,-5.991180294257456
11.808709175738725,-5.991022799512053,-5.498575714651385,-5.991180294257456
