logm,logphi,upper_error,lower_error
9.013996889580094,-1.5619047619047612,-1.3948717948717941,-1.7278911564625843
9.065318818040435,-1.5809523809523802,-1.4116402116402105,-1.7503401360544208
9.139968895800934,-1.609523809523809,-1.4455026455026452,-1.776190476190476
9.186625194401245,-1.6190476190476186,-1.4608058608058603,-1.7926190476190476
9.237947122861586,-1.6380952380952374,-1.4769230769230761,-1.8109523809523804
9.349922239502332,-1.6714285714285713,-1.5090909090909084,-1.8426303854875279
9.415241057542769,-1.6904761904761898,-1.5322344322344317,-1.8585034013605437
9.573872472783826,-1.7190476190476187,-1.5676190476190472,-1.8960317460317455
9.629860031104199,-1.7333333333333325,-1.5783549783549777,-1.9067669172932324
9.755832037325039,-1.7571428571428567,-1.5980952380952373,-1.9267399267399261
9.8398133748056,-1.7714285714285707,-1.6075187969924807,-1.9392446633825942
9.979782270606531,-1.7809523809523804,-1.6210526315789464,-1.9589490968801309
10.049766718506998,-1.7904761904761899,-1.628571428571428,-1.968801313628899
10.175738724727838,-1.8142857142857136,-1.6499999999999992,-1.9882783882783877
10.250388802488336,-1.8285714285714278,-1.6654761904761899,-2.0032840722495893
10.381026438569208,-1.8571428571428563,-1.6949404761904756,-2.032234432234432
10.455676516329705,-1.8857142857142848,-1.7186813186813181,-2.050931677018633
10.565318818040435,-1.9238095238095236,-1.760884353741496,-2.0920168067226883
10.614307931570762,-1.9428571428571422,-1.7845804988662128,-2.1184873949579823
10.656298600311043,-1.9619047619047612,-1.8049886621315196,-2.1413919413919413
10.758942457231726,-2.0380952380952375,-1.8761904761904749,-2.2107936507936494
10.79860031104199,-2.066666666666666,-1.9031746031746024,-2.2448979591836724
10.847589424572316,-2.1142857142857134,-1.9489795918367332,-2.287755102040814
10.964230171073094,-2.2380952380952377,-2.078095238095237,-2.415873015873015
11.001555209953343,-2.285714285714285,-2.1238095238095234,-2.4666666666666663
11.043545878693624,-2.352380952380952,-2.19047619047619,-2.534523809523811
11.06687402799378,-2.3999999999999995,-2.2307692307692313,-2.573992673992676
11.150855365474339,-2.5619047619047612,-2.3841269841269837,-2.7333333333333316
11.188180404354588,-2.628571428571428,-2.461904761904761,-2.809523809523809
11.220839813374806,-2.714285714285714,-2.5460317460317454,-2.8928571428571406
11.253499222395023,-2.79047619047619,-2.63265306122449,-2.971428571428571
11.276827371695179,-2.8571428571428568,-2.694505494505494,-3.03265306122449
11.332814930015552,-3.028571428571429,-2.8670194003527323,-3.2108843537414944
11.356143079315707,-3.1047619047619044,-2.9428571428571426,-3.2931972789115664
11.384136858475895,-3.1999999999999997,-3.0357142857142865,-3.3952380952380956
11.40746500777605,-3.285714285714285,-3.1238095238095256,-3.480952380952381
11.426127527216174,-3.3619047619047615,-3.1999999999999997,-3.547619047619048
11.444790046656298,-3.457142857142857,-3.270748299319726,-3.6228571428571414
11.468118195956453,-3.5523809523809518,-3.3657142857142843,-3.728042328042327
11.519440124416796,-3.8,-3.6219780219780224,-3.9933333333333345
11.542768273716952,-3.923809523809523,-3.7428571428571424,-4.11746031746032
11.5800933125972,-4.123809523809523,-3.9428571428571333,-4.325714285714281
11.608087091757387,-4.314285714285714,-4.1028571428571405,-4.508225108225106
11.636080870917574,-4.514285714285714,-4.302857142857146,-4.704761904761913
11.673405909797822,-4.771428571428571,-4.561904761904758,-4.97354497354497
11.706065318818041,-5.0,-4.784126984126994,-5.201904761904765
11.724727838258165,-5.190476190476191,-4.955555555555552,-5.369523809523807
11.74805598755832,-5.3809523809523805,-5.152380952380949,-5.552380952380952
11.766718506998444,-5.533333333333333,-5.3150183150183095,-5.747089947089943
11.780715396578538,-5.6571428571428575,-5.438095238095238,-5.876190476190477
11.808709175738725,-5.942857142857143,-5.6911564625850435,-5.980952380952381
